x,y,n_cattle,n_sheep,status,status_being_culled
15,15,500,0,9,FALSE
19.44067594,25.36548498,500,0,0,FALSE
13.9871905,18.00999104,500,0,0,FALSE
13.5881765,17.29617367,500,0,0,FALSE
32.43802764,13.90704118,500,0,0,FALSE
2.409708648,24.62895348,500,0,0,FALSE
10.22037769,-0.98227365,500,0,0,FALSE
11.48128877,7.67539769,500,0,0,FALSE
18.80848207,22.1869371,500,0,0,FALSE
1.806375374,27.65404698,500,0,0,FALSE
31.83746703,10.17126201,500,0,0,FALSE
24.33474591,7.018515017,500,0,0,FALSE
13.18264334,23.90241858,500,0,0,FALSE
2.471311949,20.35630508,500,0,0,FALSE
32.17585733,23.9776726,500,0,0,FALSE
8.699523072,12.80537015,500,0,0,FALSE
-3.189335033,13.25809542,500,0,0,FALSE
11.647584,20.32243921,500,0,0,FALSE
24.50043274,21.32713847,500,0,0,FALSE
13.41471355,21.22710341,500,0,0,FALSE
29.78806393,11.99491616,500,0,0,FALSE
24.78804256,-1.895630705,500,0,0,FALSE
14.22276767,21.90124425,500,0,0,FALSE
6.337025019,11.85100562,500,0,0,FALSE
23.70763575,32.17380665,500,0,0,FALSE
15.91877352,6.121468575,500,0,0,FALSE
28.99431464,20.52668106,500,0,0,FALSE
5.688127585,22.11605665,500,0,0,FALSE
12.08138706,28.30167921,500,0,0,FALSE
-4.752438545,16.77745802,500,0,0,FALSE
25.9622054,17.7997949,500,0,0,FALSE
1.564720734,1.348496148,500,0,0,FALSE
-2.630743229,17.94560824,500,0,0,FALSE
8.204950786,13.77092029,500,0,0,FALSE
3.236097144,28.4312041,500,0,0,FALSE
20.21138391,-2.707633833,500,0,0,FALSE
27.64644325,29.70786218,500,0,0,FALSE
29.43605299,15.72018657,500,0,0,FALSE
5.489985545,4.907379152,500,0,0,FALSE
18.73792826,27.62079315,500,0,0,FALSE
18.09157346,17.63247817,500,0,0,FALSE
0.601532087,12.5834984,500,0,0,FALSE
25.02284156,11.51689167,500,0,0,FALSE
12.23728858,3.691897692,500,0,0,FALSE
20.40787147,-0.185158017,500,0,0,FALSE
25.28198717,22.68336792,500,0,0,FALSE
20.18239678,10.80299737,500,0,0,FALSE
-0.770070987,20.31317392,500,0,0,FALSE
18.85007129,-3.412831298,500,0,0,FALSE
1.729989646,14.66721919,500,0,0,FALSE
27.60108692,17.9373969,500,0,0,FALSE
15.6986385,14.53209002,500,0,0,FALSE
8.069809018,3.376239289,500,0,0,FALSE
15.55254696,6.023828669,500,0,0,FALSE
31.12379134,10.05834113,500,0,0,FALSE
30.32926827,19.31505872,500,0,0,FALSE
1.477963264,15.15299046,500,0,0,FALSE
16.23585277,3.060050388,500,0,0,FALSE
9.800180525,24.76432921,500,0,0,FALSE
28.87907437,1.529037029,500,0,0,FALSE
8.177742901,13.13366897,500,0,0,FALSE
20.82929464,28.04672876,500,0,0,FALSE
19.22462226,19.18190622,500,0,0,FALSE
19.26422763,0.109059438,500,0,0,FALSE
10.983775,3.957391305,500,0,0,FALSE
-0.265283372,14.50654019,500,0,0,FALSE
15.88174573,24.41883659,500,0,0,FALSE
21.52655938,10.48387898,500,0,0,FALSE
1.542123024,23.28235979,500,0,0,FALSE
28.13395814,13.92177769,500,0,0,FALSE
11.02312963,20.67733892,500,0,0,FALSE
23.34052893,16.09362271,500,0,0,FALSE
14.70229801,25.64909495,500,0,0,FALSE
34.43360497,16.94516952,500,0,0,FALSE
4.49544565,28.2847375,500,0,0,FALSE
19.18122984,25.22498823,500,0,0,FALSE
6.099202866,30.54905688,500,0,0,FALSE
17.98463279,10.87366039,500,0,0,FALSE
21.88718787,31.79630927,500,0,0,FALSE
16.95265811,-4.525772774,500,0,0,FALSE
9.890833193,7.779591629,500,0,0,FALSE
20.74730021,15.33770604,500,0,0,FALSE
15.47462386,30.72174125,500,0,0,FALSE
0.024853624,4.212426907,500,0,0,FALSE
10.03164654,11.68022655,500,0,0,FALSE
16.09375278,3.000679965,500,0,0,FALSE
16.70157105,10.17007485,500,0,0,FALSE
14.66109606,2.452619185,500,0,0,FALSE
3.129379773,7.679461446,500,0,0,FALSE
8.417457898,9.042514898,500,0,0,FALSE
14.17000934,2.856864102,500,0,0,FALSE
30.17248278,20.50076823,500,0,0,FALSE
16.158272,3.795951783,500,0,0,FALSE
9.101922024,-0.630263519,500,0,0,FALSE
8.844533172,3.866216422,500,0,0,FALSE
-2.001596096,16.31453417,500,0,0,FALSE
22.81356429,31.45767376,500,0,0,FALSE
7.171475196,29.39812504,500,0,0,FALSE
27.32628263,20.46045471,500,0,0,FALSE
34.08478854,20.63831834,500,0,0,FALSE
3.780233848,31.00228983,500,0,0,FALSE
20.66508703,31.32249592,500,0,0,FALSE
5.461610891,3.623601592,500,0,0,FALSE
29.67280421,14.1664296,500,0,0,FALSE
32.18339688,8.564090245,500,0,0,FALSE
28.71428963,23.40291595,500,0,0,FALSE
12.12027187,17.68164011,500,0,0,FALSE
5.796310042,30.46340362,500,0,0,FALSE
31.00003969,18.97528398,500,0,0,FALSE
3.622249624,13.37579245,500,0,0,FALSE
27.99582292,12.06474001,500,0,0,FALSE
9.160962782,13.14079725,500,0,0,FALSE
25.83925737,15.37365754,500,0,0,FALSE
